duration_min,civilization_id,villagers_dark_age,villagers_feudal_age,villagers_castle_age,villagers_imperial_age,mil_trained_dark_age,mil_trained_feudal_age,mil_trained_castle_age,mil_trained_imperial_age,apm_dark_age,apm_feudal_age,apm_castle_age,apm_imperial_age,gather_point_count,wall_count,move_count,order_count,stance_count,first_wall_min,market_min,first_barracks_min,first_stable_min,first_archery_min,blacksmith_min,feudal_min,castle_min,imperial_min,double_bit_axe_min,horse_collar_min,gold_mining_min,wheelbarrow_min,loom_min,forging_min,fletching_min,bodkin_arrow_min,result,elo,barracks_count,stable_count,archery_count,blacksmith_count
16.92,24,18,32,0,0,0,8,0,0,470,409,0,0,71,6,541,178,5,8.57,,7.91,,9.64,,6.61,,,,,,15.85,6.01,,,,0,2224,1,0,1,0
16.92,11,21,20,0,0,0,15,0,0,493,397,0,0,59,5,644,96,2,16.12,,7.99,14.07,8.5,,6.26,,,,12.02,,,5.72,,,,1,2348,1,1,1,0
22.06,10,16,27,0,0,0,9,0,0,415,1262,0,0,59,3,922,265,326,9.19,16.07,7.74,8.91,,20.51,6.68,20.16,,,20.74,,,3.7,21.26,,,1,1743,1,1,0,1
22.06,4,29,20,0,0,0,11,0,0,508,437,0,0,81,18,605,149,1,8.39,,14.3,,18.77,21.42,6.73,,,,,,,5.74,,,,0,1678,1,0,1,1
27.02,2,21,22,29,0,0,16,13,0,442,687,279,0,115,10,822,222,51,9.5,17.35,7.76,9.02,10.02,12.69,6.58,19.25,,,,,,6.21,20.62,13.46,,1,1715,1,2,1,1
27.02,29,30,22,8,0,2,22,33,0,624,473,221,0,97,13,837,201,0,4.6,18.61,7.94,19.61,12.69,19.99,7.41,19.48,,,20.99,,,6.52,20.67,,,0,1665,1,2,1,1
20.62,20,18,26,0,0,0,12,0,0,652,962,0,0,44,4,1148,213,95,4.1,,6.8,8.46,9.94,12.92,6.22,19.51,,15.32,9.61,,,5.65,,13.76,,0,1705,1,1,2,1
20.62,16,27,23,0,0,0,27,0,0,419,468,7,0,104,11,455,168,22,9.69,,9.08,,9.86,11.58,7.08,17.85,,19.12,,18.71,,0.06,18.87,13.1,20.54,1,1745,2,0,2,1
19.02,21,18,22,0,0,3,10,0,0,788,949,0,0,95,8,1249,296,8,10.37,,5.24,,11.72,,6.75,,,,,,,5.78,,,,0,1572,1,0,1,0
19.02,39,19,19,0,0,0,8,0,0,429,455,0,0,62,5,521,177,31,8.17,15.92,8.91,,9.8,11.23,7.08,18.63,,,,,,6.18,,11.8,,1,1578,1,0,1,1
21.27,6,24,16,5,0,0,6,6,0,491,430,101,0,60,15,717,142,0,8.77,17.14,8.28,9.62,,14.59,6.88,16.35,,,,,12.75,0.03,18.34,,,1,1888,1,2,0,1
21.27,22,29,25,0,0,0,18,0,0,750,898,0,0,195,17,1072,262,1,10.28,,7.46,8.57,14.8,16.44,6.38,19.45,,,9.44,,,5.81,,17.48,,0,1951,1,2,1,1
33.86,14,26,18,43,4,0,3,39,0,613,641,862,59,115,5,1657,173,1,7.87,23.77,7.98,14.43,9.32,12.87,6.99,16.78,29.85,22.33,9.38,16.99,20.39,6.59,,,,1,2687,1,2,1,1
33.86,39,22,15,39,18,0,3,34,29,599,578,725,352,177,15,1268,272,212,4.27,20.79,8.26,,13.77,11.73,7.15,15.23,25.29,16.04,9.38,,18.41,6.43,,,,0,2619,1,0,3,1
29.27,24,19,1,15,0,0,0,13,0,509,149,735,0,181,1,848,291,0,11.44,9.88,,,,10.86,7.45,11.37,,,,,,7.53,,,,0,1705,0,0,0,1
29.27,15,21,19,30,0,0,18,25,0,468,757,688,0,94,0,1409,222,5,,15.62,8.44,,9.47,10.63,7.25,16.69,,,,17.52,,5.86,,11.48,19.42,1,1829,1,0,2,1
18.69,43,17,22,0,0,3,29,0,0,789,887,0,0,213,3,1085,206,50,11.65,,5.08,14.2,9.11,13.15,6.68,,,,,,15.47,5.82,,14.43,,1,2550,1,1,1,1
18.69,17,27,32,0,0,0,27,0,0,698,576,0,0,123,3,824,223,0,7.78,15.81,7.53,9.1,11.57,,6.73,,,,,,,5.9,,,,0,2377,1,1,1,0
26.34,2,27,19,1,0,2,28,4,0,455,488,64,0,69,8,555,147,73,6.11,,4.92,16.49,12.69,12.27,10.04,22.35,,,,22.71,,8.67,23.44,13.08,,1,1945,1,3,1,1
26.34,12,21,22,8,0,0,29,13,0,487,620,192,0,100,12,824,215,10,6.89,15.6,5.07,20.91,8.59,12.04,6.0,18.77,,,22.72,,22.39,4.46,,16.31,,0,2077,1,1,2,1
44.13,36,23,21,125,26,0,12,75,104,440,497,838,314,205,8,846,341,55,10.68,15.45,8.28,9.33,11.7,16.3,7.0,18.1,35.01,,9.4,19.76,29.48,6.21,19.26,17.04,37.1,1,1702,8,10,1,1
44.13,26,24,23,69,61,0,26,27,56,672,700,827,589,382,2,1433,414,13,12.68,31.77,7.97,16.8,8.94,9.94,6.64,18.11,32.02,,19.7,19.92,29.03,6.33,29.11,11.41,20.86,0,1645,1,5,1,1
18.09,12,23,11,1,0,0,11,0,0,508,532,128,0,101,9,818,173,0,3.62,11.42,8.36,,9.29,13.47,6.1,13.95,,,,,,5.62,,14.59,16.67,0,1667,1,0,1,1
18.09,5,19,23,0,0,0,12,0,0,457,388,0,0,43,5,598,68,43,11.24,16.93,7.9,,9.58,12.25,7.39,18.09,,17.25,,,,6.5,,13.04,,1,1672,1,0,1,1
43.47,36,21,18,114,12,0,7,42,2,435,369,792,49,78,17,892,291,0,10.31,15.81,8.18,9.43,34.36,30.53,7.16,17.36,38.27,,9.6,17.74,19.82,6.65,,,,0,1538,4,1,2,1
43.47,19,22,14,118,8,0,6,86,41,424,399,992,217,138,17,846,484,20,10.71,15.94,7.06,8.89,,22.81,6.61,16.56,36.48,37.41,17.3,17.33,11.82,6.1,28.49,37.39,39.41,1,1595,1,7,0,1
47.8,31,19,23,104,7,0,16,106,7,462,722,1578,56,162,7,1672,461,89,19.01,16.63,7.42,8.65,11.07,12.32,6.42,17.48,43.31,33.36,38.28,,39.86,5.95,,13.23,20.21,1,2314,6,1,2,1
47.8,34,16,44,73,0,0,14,69,0,610,922,1682,0,427,17,1805,595,2,9.94,18.58,8.11,20.63,13.55,14.62,6.62,20.31,44.97,17.88,10.87,,44.27,5.64,,15.38,45.95,0,2506,1,3,6,2
52.88,10,16,20,46,127,0,5,19,120,497,697,763,1322,462,18,1566,578,0,10.26,14.21,8.33,9.4,30.99,12.28,6.84,18.2,30.69,32.24,10.07,18.97,24.45,6.28,19.88,,,0,1478,1,9,5,1
52.88,36,29,15,89,85,0,7,55,219,459,320,617,848,194,12,956,325,10,9.78,19.85,8.33,11.06,34.59,16.86,8.39,17.45,32.07,34.63,9.88,19.13,7.53,6.35,18.08,34.61,41.82,1,1484,4,11,6,3
52.88,10,16,20,46,127,0,5,19,120,497,697,763,1322,462,18,1566,578,0,10.26,14.21,8.33,9.4,30.99,12.28,6.84,18.2,30.69,32.24,10.07,18.97,24.45,6.28,19.88,,,0,1478,1,9,5,1
52.88,36,29,15,89,85,0,7,55,219,459,320,617,848,194,12,956,325,10,9.78,19.85,8.33,11.06,34.59,16.86,8.39,17.45,32.07,34.63,9.88,19.13,7.53,6.35,18.08,34.61,41.82,1,1484,4,11,6,3
54.66,6,26,18,118,42,0,12,49,477,478,630,825,878,514,8,1115,371,34,7.62,24.53,9.77,10.49,16.15,14.04,7.22,18.17,31.87,34.0,19.39,32.97,16.21,0.01,35.45,34.0,35.47,0,1704,11,2,9,2
54.66,22,21,22,83,38,0,8,38,262,582,656,959,1179,200,7,1866,548,16,6.32,15.84,8.0,9.34,18.03,16.58,6.84,18.34,33.92,44.35,10.68,19.84,28.55,4.7,,20.65,21.58,1,1742,1,11,9,1
