filepath,villagers_dark_age_delta,villagers_feudal_age_delta,villagers_castle_age_delta,villagers_imperial_age_delta,mil_trained_dark_age_delta,mil_trained_feudal_age_delta,mil_trained_castle_age_delta,mil_trained_imperial_age_delta,apm_dark_age_delta,apm_feudal_age_delta,apm_castle_age_delta,apm_imperial_age_delta,gather_point_count_delta,wall_count_delta,move_count_delta,order_count_delta,stance_count_delta,ungarrison_count_delta,first_wall_min_delta,market_min_delta,first_barracks_min_delta,first_stable_min_delta,first_archery_min_delta,blacksmith_min_delta,feudal_min_delta,castle_min_delta,imperial_min_delta,double_bit_axe_min_delta,bow_saw_min_delta,two_man_saw_min_delta,horse_collar_min_delta,heavy_plow_min_delta,crop_rotation_min_delta,gold_mining_min_delta,gold_shafting_mining_min_delta,stone_mining_min_delta,stone_shafting_mining_min_delta,wheelbarrow_min_delta,hand_cart_min_delta,town_watch_min_delta,town_patrol_min_delta,loom_min_delta,forging_min_delta,iron_casting_min_delta,blast_furnace_min_delta,scale_mail_armor_min_delta,chain_mail_armor_min_delta,plate_mail_armor_min_delta,scale_barding_armor_min_delta,chain_barding_armor_min_delta,plate_barding_armor_min_delta,fletching_min_delta,bodkin_arrow_min_delta,bracer_min_delta,padded_archer_armor_min_delta,leather_archer_armor_min_delta,ring_archer_armor_min_delta,bloodlines_min_delta,husbandry_min_delta,thumb_ring_min_delta,parthian_tactics_min_delta,arson_min_delta,gambeson_min_delta,squires_min_delta,chemistry_min_delta,barracks_count_delta,stable_count_delta,archery_count_delta,blacksmith_count_delta,market_count_delta,duration_min,p1_elo,p2_elo,p1_civ,p2_civ,result
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_272025477.aoe2record,-13,5,-43,42,0,-2,-36,-99,38,377,146,474,268,6,610,253,-10,0,0.4800000000000004,-5.640000000000001,0.0,-1.6600000000000001,-3.600000000000005,-4.58,-1.5500000000000007,0.75,-1.379999999999999,-2.3900000000000006,-7.740000000000002,,0.1899999999999995,6.139999999999997,,-0.16000000000000014,,,,16.919999999999998,-4.0,-2.6400000000000006,,-0.0699999999999994,1.8000000000000007,,,,,,1.620000000000001,3.8999999999999986,0.5899999999999963,,,,,,,,4.030000000000001,,,,,,,-3,-2,-1,-2,0,52.88,1478,1484,10,36,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_277877629.aoe2record,5,-4,35,4,0,4,11,215,-104,-26,-134,-301,314,1,-751,-177,18,0,1.2999999999999998,8.690000000000001,1.7699999999999996,1.1500000000000004,-1.8800000000000026,-2.539999999999999,0.3799999999999999,-0.16999999999999815,-2.0500000000000007,-10.350000000000001,-11.310000000000002,,8.71,-14.939999999999998,,13.129999999999999,,,,-12.34,-5.149999999999999,-7.27,,-4.69,,,,,,,15.61,,,13.350000000000001,13.89,3.460000000000001,,,-5.5,32.230000000000004,,-3.3800000000000026,,,,,3.809999999999995,10,-9,0,1,1,54.66,1704,1742,6,22,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_277883469.aoe2record,-1,3,0,0,3,2,0,0,359,494,0,0,33,3,728,119,-23,0,2.1999999999999993,,-3.67,,1.92,,-0.33000000000000007,,,,,,,,,,,,,,,,,-0.39999999999999947,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-1,-1,19.02,1572,1578,21,39,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_279527733.aoe2record,-1,4,-4,4,0,1,-44,-39,11,-30,-200,-168,-60,0,46,-193,-20,0,-0.40000000000000036,-0.129999999999999,1.12,0.5399999999999991,,7.720000000000002,0.5499999999999998,0.8000000000000007,1.7900000000000063,,,,-7.700000000000001,,,0.41000000000000014,,,,8.0,4.099999999999994,-2.099999999999998,,0.5500000000000007,,,,,,,,,,,,,,,,,,,,,,,2.6600000000000037,3,-6,2,0,1,43.47,1538,1595,36,19,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_318257793.aoe2record,2,18,15,0,0,18,12,0,-41,608,-47,0,-87,-1,561,-69,5,0,,5.739999999999998,,,,-0.22999999999999865,-0.20000000000000018,5.320000000000002,,,,,,,,,,,,,,,,-1.67,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,29.27,1829,1705,15,24,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_321368513.aoe2record,-1,-2,56,-35,0,-14,48,48,-232,-203,11,-275,-177,6,-587,-73,42,0,-2.0,-16.32,0.3099999999999996,-7.470000000000001,2.76,6.360000000000001,0.3600000000000003,-0.00999999999999801,2.989999999999995,,,,-10.299999999999999,,,-0.16000000000000014,,,,0.4499999999999993,-4.119999999999997,,,-0.1200000000000001,-9.849999999999998,-8.030000000000001,,7.25,,,-17.590000000000003,-4.230000000000004,,5.629999999999999,16.240000000000002,,-9.939999999999998,,,,9.280000000000001,,,,,,,7,5,0,0,0,44.13,1702,1645,36,26,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_322457972.aoe2record,-13,7,0,0,0,-2,0,0,-93,825,0,0,-22,-15,317,116,325,0,0.7999999999999989,,-6.5600000000000005,,,-0.9100000000000001,-0.05000000000000071,,,,,,,,,,,,,,,,,-2.04,,,,,,,,,,,,,,,,,,,,,,,,0,1,-1,0,1,22.06,1743,1678,10,4,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_322460723.aoe2record,9,0,-21,0,2,6,20,0,182,-214,-58,0,-18,3,15,-21,-51,0,-4.9,1.259999999999998,0.1800000000000006,10.59,2.67,7.299999999999999,0.8300000000000001,0.23000000000000043,,,,,,,,,,,,,,,,0.3099999999999996,0.05000000000000071,,,,,,0.5700000000000003,,,,,,,,,,,,,,,,,0,0,0,0,0,27.02,1665,1715,29,2,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_326854530.aoe2record,-9,3,0,0,0,-15,0,0,233,494,-7,0,-60,-7,693,45,73,0,-5.59,,-2.2800000000000002,,0.08000000000000007,1.3399999999999999,-0.8600000000000003,1.6600000000000001,,-3.8000000000000007,,,,,,,,,,,,,,5.590000000000001,,,,,,,,,,0.6600000000000001,,,,,,,,,,,,,,-1,1,0,0,0,20.62,1705,1745,20,16,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_456982423.aoe2record,-10,15,-11,-12,-5,10,33,22,-16,-211,-97,-249,-150,8,87,-36,-457,0,-3.0600000000000005,-0.35999999999999943,2.7600000000000007,,-30.42,2.630000000000001,0.11000000000000032,0.019999999999999574,0.4299999999999997,-13.970000000000002,-4.080000000000005,,-5.609999999999999,,,,,,,-2.759999999999998,,-13.040000000000001,,-4.5600000000000005,,,,6.210000000000001,,,,,,-13.970000000000002,-12.469999999999999,0.45999999999999375,6.879999999999999,,,,,,,,,,,2,0,3,0,0,42.57,2595,2772,57,57,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\Burgundian vs Turks.aoe2record,-13,5,-43,42,0,-2,-36,-99,38,377,146,474,268,6,610,253,-10,0,0.4800000000000004,-5.640000000000001,0.0,-1.6600000000000001,-3.600000000000005,-4.58,-1.5500000000000007,0.75,-1.379999999999999,-2.3900000000000006,-7.740000000000002,,0.1899999999999995,6.139999999999997,,-0.16000000000000014,,,,16.919999999999998,-4.0,-2.6400000000000006,,-0.0699999999999994,1.8000000000000007,,,,,,1.620000000000001,3.8999999999999986,0.5899999999999963,,,,,,,,4.030000000000001,,,,,,,-3,-2,-1,-2,0,52.88,1478,1484,10,36,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.13221.0 #(78757) @2023.04.04 225504 (1).aoe2record,-3,12,0,0,0,-7,0,0,-23,12,0,0,12,1,-103,82,3,0,-7.550000000000001,,-0.08000000000000007,,1.1400000000000006,,0.35000000000000053,,,,,,,,,,,,,,,,,0.29000000000000004,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,0,0,16.92,2224,2348,24,11,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.24724.0 #(90260) @2023.08.19 224536 (1).aoe2record,-4,-3,-4,14,0,0,-5,29,-14,-63,-137,293,62,10,-389,99,211,0,-3.6000000000000005,-2.9800000000000004,0.27999999999999936,,4.449999999999999,-1.1399999999999988,0.16000000000000014,-1.5500000000000007,-4.560000000000002,-6.289999999999999,-6.370000000000001,,0.0,,,,,,,-1.9800000000000004,,7.970000000000002,,-0.16000000000000014,,,,,,,,,,,,,,,,,,,,,,,,0,-2,2,0,0,33.86,2619,2687,39,14,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.24724.0 #(90260) @2023.08.21 122712 (1).aoe2record,-5,-9,5,0,0,-12,6,0,-259,-468,101,0,-135,-2,-355,-120,-1,0,-1.5099999999999998,,0.8199999999999994,1.049999999999999,,-1.8500000000000014,0.5,-3.099999999999998,,,,,,,,,,,,,,,,-5.779999999999999,,,,,,,,,,,,,,,,,,,,,,,,0,0,-1,0,1,21.27,1888,1951,6,22,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.28520.0 @2023.10.23 170526 (1).aoe2record,6,-3,-7,0,2,-1,-9,0,-32,-132,-128,0,-31,-4,-269,-68,63,0,-0.7799999999999994,,-0.15000000000000036,-4.420000000000002,4.1,0.23000000000000043,4.039999999999999,3.580000000000002,,,,,,,,,,,,,,,,4.21,,,,,,,,,,-3.2299999999999986,,,,,,,,,,,,,,0,2,-1,0,-1,26.34,1945,2077,2,12,1
